start_airport,start_icao,end_airport,end_icao,route_name,route_passengers,start_pax_total,end_pax_total,start_pax_pct,year,data_quality
Frankfurt Main,EDDF,Sarajevo,LQSA,Frankfurt Main - Sarajevo,NA,70066509,NA,NA,2019,missing_end_pax
Frankfurt Main,EDDF,Bale Mulhouse,LFSB,Frankfurt Main - Bale Mulhouse,179358,70066509,8271471,0.26,2019,complete
Frankfurt Main,EDDF,Bale Mulhouse,LFSB,Frankfurt Main - Bale Mulhouse,179358,70066509,562406,0.26,2019,complete
Frankfurt Main,EDDF,Geneve Cointrin,LSGG,Frankfurt Main - Geneve Cointrin,433551,70066509,17742225,0.62,2019,complete
Frankfurt Main,EDDF,Zurich,LSZH,Frankfurt Main - Zurich,652458,70066509,31292970,0.93,2019,complete
Frankfurt Main,EDDF,Schonefeld,EDDB,Frankfurt Main - Schonefeld,27797714.64961647,70066509,11028278,NA,2019,complete
Frankfurt Main,EDDF,Berlin Brandenburg Willy Brandt,EDDB,Frankfurt Main - Berlin Brandenburg Willy Brandt,27797714.64961647,70066509,11028278,NA,2019,complete
Frankfurt Main,EDDF,Dresden International,EDDC,Frankfurt Main - Dresden International,331930,70066509,1420208,0.47,2019,complete
Frankfurt Main,EDDF,Munster Osnabruck,EDDG,Frankfurt Main - Munster Osnabruck,132578,70066509,715527,0.19,2019,complete
Frankfurt Main,EDDF,Hamburg,EDDH,Frankfurt Main - Hamburg,1426073,70066509,16279030,2.04,2019,complete
Frankfurt Main,EDDF,Tempelhof,EDDI,Frankfurt Main - Tempelhof,NA,70066509,NA,NA,2019,missing_end_pax
Frankfurt Main,EDDF,Koln Bonn,EDDK,Frankfurt Main - Koln Bonn,27305715.61805572,70066509,10641348,NA,2019,complete
Frankfurt Main,EDDF,Dusseldorf,EDDL,Frankfurt Main - Dusseldorf,379383,70066509,24588161,0.54,2019,complete
Frankfurt Main,EDDF,Franz Josef Strauss,EDDM,Frankfurt Main - Franz Josef Strauss,1136769,70066509,47266254,1.62,2019,complete
Frankfurt Main,EDDF,Nurnberg,EDDN,Frankfurt Main - Nurnberg,249465,70066509,3486586,0.36,2019,complete
Frankfurt Main,EDDF,Leipzig Halle,EDDP,Frankfurt Main - Leipzig Halle,264452,70066509,2217214,0.38,2019,complete
Frankfurt Main,EDDF,Stuttgart,EDDS,Frankfurt Main - Stuttgart,321345,70066509,12275312,0.46,2019,complete
Frankfurt Main,EDDF,Tegel,EDDT,Frankfurt Main - Tegel,2249667,70066509,24008455,3.21,2019,complete
Frankfurt Main,EDDF,Hannover,EDDV,Frankfurt Main - Hannover,353782,70066509,5908901,0.5,2019,complete
Frankfurt Main,EDDF,Neuenland,EDDW,Frankfurt Main - Neuenland,303122,70066509,2196047,0.43,2019,complete
Frankfurt Main,EDDF,Paderborn Lippstadt,EDLP,Frankfurt Main - Paderborn Lippstadt,5689207.6512931045,70066509,461948,NA,2019,complete
Frankfurt Main,EDDF,Friedrichshafen,EDNY,Frankfurt Main - Friedrichshafen,145720,70066509,385996,0.21,2019,complete
Frankfurt Main,EDDF,Billund,EKBI,Frankfurt Main - Billund,283298,70066509,2974341,0.4,2019,complete
Frankfurt Main,EDDF,Kastrup,EKCH,Frankfurt Main - Kastrup,659835,70066509,28737167,0.94,2019,complete
Frankfurt Main,EDDF,Tallinn,EETN,Frankfurt Main - Tallinn,279702,70066509,NA,0.4,2019,missing_end_pax
Frankfurt Main,EDDF,Eleftherios Venizelos Intl,LGAV,Frankfurt Main - Eleftherios Venizelos Intl,617277,70066509,NA,0.88,2019,missing_end_pax
Frankfurt Main,EDDF,Nikos Kazantzakis,LGIR,Frankfurt Main - Nikos Kazantzakis,223415,70066509,NA,0.32,2019,missing_end_pax
Frankfurt Main,EDDF,Kos,LGKO,Frankfurt Main - Kos,84722,70066509,NA,0.12,2019,missing_end_pax
Frankfurt Main,EDDF,Ioannis Kapodistrias Intl,LGKR,Frankfurt Main - Ioannis Kapodistrias Intl,92555,70066509,NA,0.13,2019,missing_end_pax
Frankfurt Main,EDDF,Rhodes Diagoras,LGRP,Frankfurt Main - Rhodes Diagoras,106309,70066509,NA,0.15,2019,missing_end_pax
Frankfurt Main,EDDF,Makedonia,LGTS,Frankfurt Main - Makedonia,217167,70066509,NA,0.31,2019,missing_end_pax
Frankfurt Main,EDDF,Fuerteventura,GCFV,Frankfurt Main - Fuerteventura,180194,70066509,4935430,0.26,2019,complete
Frankfurt Main,EDDF,Gran Canaria,GCLP,Frankfurt Main - Gran Canaria,239609,70066509,11196595,0.34,2019,complete
Frankfurt Main,EDDF,Lanzarote,GCRR,Frankfurt Main - Lanzarote,109005,70066509,6401678,0.16,2019,complete
Frankfurt Main,EDDF,Tenerife Sur,GCTS,Frankfurt Main - Tenerife Sur,231516,70066509,9350488,0.33,2019,complete
Frankfurt Main,EDDF,Tenerife Norte,GCXO,Frankfurt Main - Tenerife Norte,20153627.121565934,70066509,5796902,NA,2019,complete
Frankfurt Main,EDDF,Alicante,LEAL,Frankfurt Main - Alicante,132178,70066509,14627077,0.19,2019,complete
Frankfurt Main,EDDF,Bilbao,LEBB,Frankfurt Main - Bilbao,234773,70066509,5814556,0.34,2019,complete
Frankfurt Main,EDDF,Barcelona,LEBL,Frankfurt Main - Barcelona,1032333,70066509,51210817,1.47,2019,complete
Frankfurt Main,EDDF,Ibiza,LEIB,Frankfurt Main - Ibiza,94133,70066509,7632907,0.13,2019,complete
Frankfurt Main,EDDF,Jerez,LEJR,Frankfurt Main - Jerez,8725523.43100189,70066509,1086607,NA,2019,complete
